Data set,Institutions
Entity,"Mexico"
Year range,1996 to 2024
Subject classification,"ASJC"
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,13 May 2026
Date exported,18 May 2026

Institution ID,Institution,Sector,Country/Region,Scholarly Output,Scholarly Output (growth %),Citations,Authors,Authors (growth %),Citations per Publication,Field-Weighted Citation Impact
505023,"Universidad Nacional Autónoma de México",academic,"Mexico",136634,428.4,3236874,61863,392.1,23.7,0.92
505011,"Instituto Politécnico Nacional",academic,"Mexico",47500,1319.6,804490,24849,1021.7,16.9,0.74
505002,"Centro de Investigacion y de Estudios Avanzados del Instituto Politécnico Nacional",government,"Mexico",40634,305.7,1034293,15594,188.3,25.5,1.05
505017,"Universidad Autónoma Metropolitana",academic,"Mexico",26009,366.6,562791,12096,312.6,21.6,0.97
505012,"Instituto Tecnologico de Estudios Superiores de Monterrey",academic,"Mexico",22963,4308.5,469848,11829,2990.8,20.5,1.13
704696,"Consejo Nacional de Ciencia y Tecnologia Mexico",government,"Mexico",20680,5091.5,420579,7792,3881.3,20.3,0.97
505006,"Instituto Mexicano del Seguro Social",government,"Mexico",20138,293.6,385736,20058,213.5,19.2,0.93
505019,"Universidad de Guadalajara",academic,"Mexico",19279,1938.6,289635,11228,1812.4,15.0,0.73
505013,"Universidad Autonoma de Nuevo Leon",academic,"Mexico",16864,1369.7,299574,10730,1273.3,17.8,0.79
505001,"Benemerita Universidad Autonoma de Puebla",academic,"Mexico",15670,940.2,339972,7534,1016.1,21.7,1.04
505014,"Universidad Autonoma de San Luis Potosi",academic,"Mexico",12004,1637.0,293714,5581,1874.1,24.5,1.11
505020,"Universidad de Guanajuato",academic,"Mexico",11954,1075.7,204150,5670,684.3,17.1,0.76
505022,"Universidad Michoacana de San Nicolas de Hidalgo",academic,"Mexico",10532,3781.0,189810,4910,2687.9,18.0,0.77
505009,"Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran",government,"Mexico",10105,317.5,362262,6469,196.8,35.8,1.72
505007,"Instituto Nacional de Astrofisica Optica y Electronica",government,"Mexico",9770,290.8,161046,2806,226.4,16.5,0.83
505056,"Universidad Veracruzana",academic,"Mexico",9576,2965.5,130168,5773,2487.8,13.6,0.64
505046,"Universidad Autonoma de Baja California",academic,"Mexico",9233,1602.2,137720,5449,1689.3,14.9,0.72
505016,"Universidad Autonoma del Estado de Morelos",academic,"Mexico",8825,1650.0,158025,4033,1345.7,17.9,0.70
