Year,Número de publicaciones en el año,Número de citas en el año,Promedio de citas por publicación,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales,Número de instituciones internacionales,Número de regiones,Número de publicaciones individual,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año,Indice de colaboración nacional,Indice de colaboración internacional,Indice de publicaciones SOLO UAM,Indice de publicaciones personal
2015.0,1,1.0,1.0,6.0,6,1,0,1,0,1,0,0,0.0,0.0,1.0,0.0
2016.0,2,244.0,122.0,5.0,9,3,0,1,0,1,1,0,0.6666666666666666,0.0,0.5,0.0
2017.0,2,65.0,32.5,6.0,12,3,2,2,0,1,0,1,0.4,0.2,0.5,0.0
2018.0,1,46.0,46.0,6.0,6,1,0,1,0,1,0,0,0.0,0.0,1.0,0.0
2019.0,2,60.0,30.0,5.0,9,2,1,2,0,1,0,1,0.3333333333333333,0.0,0.5,0.0
2020.0,4,185.0,46.25,6.25,15,8,2,2,0,0,2,2,0.7,0.1,0.0,0.0
2021.0,2,20.0,10.0,5.0,9,3,0,1,0,1,1,0,0.6666666666666666,0.0,0.5,0.0
2022.0,1,12.0,12.0,9.0,9,3,2,2,0,0,0,1,0.4,0.2,0.0,0.0
2023.0,3,19.0,6.33,6.33,14,3,3,3,0,1,0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2024.0,2,7.0,3.5,7.5,10,2,4,2,0,0,0,2,0.16666666666666666,0.5,0.0,0.0
