Year,Número de publicaciones en el año,Número de citas en el año,Promedio de citas por publicación,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales,Número de instituciones internacionales,Número de regiones,Número de publicaciones individual,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año,Indice de colaboración nacional,Indice de colaboración internacional,Indice de publicaciones SOLO UAM,Indice de publicaciones personal,Autor
2015.0,5,19038.0,3807.6,426.4,962,10,487,95,0,0,0,5,0.0181086519114688,0.977867203219316,0.0,0.0,57216482927
2016.0,8,20419.0,2552.38,494.0,1063,14,786,106,0,0,0,8,0.01625,0.98125,0.0,0.0,57216482927
2017.0,7,16674.0,2382.0,500.0,1035,8,692,102,0,0,0,7,0.01,0.9871428571428572,0.0,0.0,57216482927
2018.0,7,26905.0,3843.57,500.0,1017,10,690,111,0,0,0,7,0.0128571428571428,0.9842857142857144,0.0,0.0,57216482927
2019.0,3,5041.0,1680.33,458.0,947,3,297,83,0,0,0,3,0.0066666666666666,0.9866666666666668,0.0,0.0,57216482927
2020.0,12,25151.0,2095.92,429.5,1737,31,1078,104,0,0,0,12,0.0270513976555455,0.9711451758340848,0.0,0.0,57216482927
2021.0,8,2498.0,312.25,469.0,1552,13,787,96,0,0,0,8,0.015,0.9825,0.0,0.0,57216482927
2022.0,6,2771.0,461.83,379.33,1363,9,591,98,0,0,0,6,0.0133333333333333,0.9833333333333332,0.0,0.0,57216482927
2023.0,1,15.0,15.0,60.0,60,4,48,24,0,0,0,1,0.0576923076923076,0.903846153846154,0.0,0.0,57216482927
2024.0,9,8144.0,904.89,498.67,2092,11,889,125,0,0,0,9,0.0111111111111111,0.9866666666666668,0.0,0.0,57216482927
2019.0,1,198.0,198.0,500.0,498,1,99,68,0,0,0,1,0.0,0.98,0.0,0.0,56509988200
2020.0,1,9208.0,9208.0,500.0,498,2,98,79,0,0,0,1,0.01,0.97,0.0,0.0,56509988200
2021.0,2,1623.0,811.5,500.0,807,3,197,84,0,0,0,2,0.01,0.98,0.0,0.0,56509988200
2024.0,2,1107.0,553.5,500.0,750,2,198,102,0,0,0,2,0.005,0.985,0.0,0.0,56509988200
2021.0,1,2.0,2.0,1.0,1,1,0,1,1,0,0,0,0.0,0.0,0.0,1.0,57246186500
2021.0,1,0.0,0.0,1.0,1,1,0,1,1,0,0,0,0.0,0.0,0.0,1.0,57273473400
