Autor,Autor_ID,Año,Número de publicaciones en el año,Número de publicaciones individual,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales (No UAM),Número de instituciones internacionales,Número de regiones,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año
56013566800,56013566800,2015.0,1,0,7.0,7,0,2,1,0,0,0
56013566800,56013566800,2016.0,1,0,4.0,4,0,1,1,0,0,0
56013566800,56013566800,2017.0,1,0,3.0,3,0,1,1,0,0,0
56013566800,56013566800,2018.0,3,0,7.67,18,0,8,1,0,0,0
56013566800,56013566800,2019.0,1,0,6.0,6,0,4,1,0,0,0
56013566800,56013566800,2020.0,3,0,6.0,13,0,10,2,0,0,0
56013566800,56013566800,2021.0,1,0,15.0,15,0,4,1,0,0,0
56013566800,56013566800,2022.0,1,0,10.0,10,0,3,1,0,0,0
56013566800,56013566800,2023.0,2,0,8.5,16,0,6,1,0,0,0
56013566800,56013566800,2024.0,1,0,7.0,7,0,1,1,0,0,0
