Autor,Autor_ID,Año,Número de publicaciones en el año,Número de publicaciones individual,Número de autores promedio por artículo,Número de autores diferentes,Número de instituciones nacionales (No UAM),Número de instituciones internacionales,Número de regiones,Número de publicaciones Sólo UAM en el año,Número de publicaciones Nacional en el año,Número de publicaciones Internacional en el año
"Escarela-Perez, R.",6701841506.0,2015.0,5,0,5.0,11,0,16,5,0,0,0
"Escarela-Perez, R.",6701841506.0,2016.0,4,0,4.5,13,0,10,1,0,0,0
"Escarela-Perez, R.",6701841506.0,2017.0,6,0,4.33,14,0,17,1,0,0,0
"Escarela-Perez, R.",6701841506.0,2018.0,2,0,5.0,8,0,5,1,0,0,0
"Escarela-Perez, R.",6701841506.0,2019.0,6,0,4.67,17,0,16,1,0,0,0
"Escarela-Perez, R.",6701841506.0,2020.0,4,0,5.0,14,0,10,1,0,0,0
"Escarela-Perez, R.",6701841506.0,2021.0,3,0,5.67,13,0,6,1,0,0,0
"Escarela-Perez, R.",6701841506.0,2022.0,2,0,6.0,11,0,4,2,0,0,0
"Escarela-Perez, R.",6701841506.0,2023.0,5,0,5.0,15,0,10,1,0,0,0
"Escarela-Perez, R.",6701841506.0,2024.0,2,0,5.0,8,0,5,1,0,0,0
