Autor,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Año,Citas,Colaboracion,Autores,Instituciones,Regiones,Instituciones_Nacionales
"Jiménez-González, A.","Modified sol-gel/hydrothermal method for the synthesis of microsized TiO2 and iron-doped TiO2, its characterization and solar photocatalytic activity for an azo dye degradation","Velázquez-Martínez, S.| Silva-Martínez, S.| Pineda-Arellano, C.A.| Jiménez-González, A.| Salgado-Tránsito, I.| Morales-Pérez, A.A.| Peña-Cruz, M.I.",7.0,57195245967| 8439066500| 36133458200| 6701713035| 56013698000| 56966554600| 56156721500,2018.0,2018-05-15,Journal of Photochemistry and Photobiology A: Chemistry,359,-,93-101,-,ISSN-10106030,26966.0,Journal,Elsevier B.V.,English,0.85,40,4.2,22,0.657,25,3.06,87.0,34.0,1.24,12.94,16.0,23.0,0.0,0.0,"Velázquez-Martínez, S., Silva-Martínez, S., Pineda-Arellano, C.A. and 4 more (...) (2018).Modified sol-gel/hydrothermal method for the synthesis of microsized TiO2 and iron-doped TiO2, its characterization and solar photocatalytic activity for an azo dye degradation. Journal of Photochemistry and Photobiology A: Chemistry,35993-101",https://www.scopus.com/record/display.url?eid=2-s2.0-85044971735&origin=resultslist,10.1016/j.jphotochem.2018.04.002,Article,,2-s2.0-85044971735,-,Universidad Autonoma del Estado de Morelos| Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México| Centro de Investigaciones en Optica,505016| 505017| 505023| 505027,Academic| Government,4.0,60025626| 60030794| 60032442| 60003209| 60028381,"Universidad Autónoma del Estado de Morelos| Centro de Investigaciones en Optica, A.C.| Universidad Nacional Autónoma de México| Instituto de Energías Renovables de la UNAM| Universidad Autónoma Metropolitana -Unidad Iztapalapa",57195245967,56156721500,8439066500,-,Mexico,1.0,1500| 1600| 3100,General Chemical Engineering| General Chemistry| General Physics and Astronomy,4| 2,Natural Sciences| Engineering & Technology,219| 439| 409,Engineering - Chemical| Physics & Astronomy| Chemistry,37| 36,Physical Sciences| Engineering,40| 31| 34,Engineering| Biological Sciences| Chemical Sciences,-,-,-,Photocatalytic Properties of Titanium Dioxide Structures,62,94.768,TiO2-Based Catalysts for Enhanced Hydrogen Production,22665,96.957,Defensible,2018.0,34.0,N/A,"Velázquez-Martínez, S.| Silva-Martínez, S.| Pineda-Arellano, C.A.| Jiménez-González, A.| Salgado-Tránsito, I.| Morales-Pérez, A.A.| Peña-Cruz, M.I.",Universidad Autonoma del Estado de Morelos| Universidad Autónoma Metropolitana| Universidad Nacional Autónoma de México| Centro de Investigaciones en Optica,Mexico,0
"Jiménez-González, A.",Blind extraction of fetal and maternal components from the abdominal electrocardiogram: An ICA implementation for low-dimensional recordings,"Jiménez-González, A.| Castañeda-Villa, N.",2.0,56013650200| 16174477800,2020.0,2020-04-01,Biomedical Signal Processing and Control,58,-,-,101836,ISSN-17468094,4700152237.0,Journal,Elsevier Ltd,English,1.75,9,7,14,0.767,27,0.81,23.0,27.0,0.84,16.57,18.0,32.0,1.0,0.0,"Jiménez-González, A., Castañeda-Villa, N. (2020).Blind extraction of fetal and maternal components from the abdominal electrocardiogram: An ICA implementation for low-dimensional recordings. Biomedical Signal Processing and Control,58",https://www.scopus.com/record/display.url?eid=2-s2.0-85077512561&origin=resultslist,10.1016/j.bspc.2019.101836,Article,,2-s2.0-85077512561,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381,Universidad Autónoma Metropolitana -Unidad Iztapalapa,56013650200,16174477800,56013650200,-,Mexico,1.0,1711| 2718,Signal Processing| Health Informatics,5| 2,Life Sciences & Medicine| Engineering & Technology,212| 213| 532,Computer Science & Information Systems| Data Science| Medicine,34| 38,Medical and Health| Computer Science,40| 30,"Engineering| Agricultural, Veterinary And Food Sciences",3006| 4003,Food sciences| Biomedical engineering,-,Innovative Approaches in ECG Signal Processing and Monitoring,731,71.615,Fetal Heart Monitoring through Electrocardiogram Innovations,16374,91.455,Definitive,2020.0,27.0,N/A,"Jiménez-González, A.| Castañeda-Villa, N.",Universidad Autónoma Metropolitana,Mexico,0
"Jiménez-González, A.",Adolescense pregnancy in a marginalized rural community in Mexico,"Jiménez-González, A.| Granados-Cosme, J.A.| Rosales-Flores, R.A.",3.0,57193075713| 6507366137| 57193073277,2017.0,2017-01-01,Salud Publica de Mexico,59,1,11-18,-,ISSN-00363634,19317.0,Journal,Instituto Nacional de Salud Publica,Spanish,0.69,49,1.7,57,0.465,53,5.43,186.0,23.0,1.72,7.56,24.0,16.0,0.0,0.0,"Jiménez-González, A., Granados-Cosme, J.A., Rosales-Flores, R.A. (2017).Adolescense pregnancy in a marginalized rural community in Mexico. Salud Publica de Mexico,59(1) 11-18",https://www.scopus.com/record/display.url?eid=2-s2.0-85010589241&origin=resultslist,10.21149/8410,Article,Gold|Green,2-s2.0-85010589241,28423105,Universidad Autónoma Metropolitana| Universidad Autonoma de la Ciudad de Mexico,505017| 708454,Academic,2.0,60013839| 60014923| 60094425,Secretaria de Salud| Universidad Autónoma Metropolitana| Universidad Autónoma de la Ciudad de México,57193075713,57193073277,6507366137,-,Mexico,1.0,2739,"Public Health, Environmental and Occupational Health",5,Life Sciences & Medicine,532,Medicine,34,Medical and Health,42,Health Sciences,4203| 4206,Health services and systems| Public health,SDG 4| SDG 5,Sexual Behavior and Health Among Adolescents,597,51.014,Adolescent Pregnancy and Sexual Health Dynamics,54769,36.002,Defensible,2017.0,23.0,N/A,"Jiménez-González, A.| Granados-Cosme, J.A.| Rosales-Flores, R.A.",Universidad Autónoma Metropolitana| Universidad Autonoma de la Ciudad de Mexico,Mexico,0
"Jiménez-González, A.",Evaluation in the performance of the biodegradation of herbicide diuron to high concentrations by Lysinibacillus fusiformis acclimatized by sequential batch culture,"Reyes-Cervantes, A.| Robles-Morales, D.L.| Téllez-Jurado, A.| Huerta-Ochoa, S.| Jiménez-González, A.| Medina-Moreno, S.A.",6.0,57223231599| 57223214257| 7003382352| 12144465900| 42961546200| 56000793500,2021.0,2021-08-01,Journal of Environmental Management,291,-,-,112688,ISSN-03014797,23371.0,Journal,Academic Press,English,1.86,8,11.4,5,1.481,9,0.32,15.0,16.0,0.52,19.22,25.0,47.0,0.0,0.0,"Reyes-Cervantes, A., Robles-Morales, D.L., Téllez-Jurado, A. and 3 more (...) (2021).Evaluation in the performance of the biodegradation of herbicide diuron to high concentrations by Lysinibacillus fusiformis acclimatized by sequential batch culture. Journal of Environmental Management,291",https://www.scopus.com/record/display.url?eid=2-s2.0-85105303943&origin=resultslist,10.1016/j.jenvman.2021.112688,Article,,2-s2.0-85105303943,33965706,Universidad Autónoma Metropolitana,505017,Academic,1.0,112510198| 60014923,Universidad Politécnica de Pachuca| Universidad Autónoma Metropolitana,57223231599,56000793500,56000793500,-,Mexico,1.0,2305| 2308| 2311,"Environmental Engineering| Management, Monitoring, Policy and Law| Waste Management and Disposal",2| 3,Engineering & Technology| Social Sciences & Management,424,Environmental Sciences,37,Physical Sciences,MD,Multidisciplinary,MD,Multidisciplinary,SDG 15,Organic Matter Dynamics in Environmental Systems,768,69.719,Biodegradation Mechanisms of Herbicides in Soil,35262,73.127,Very Good,2021.0,16.0,N/A,"Reyes-Cervantes, A.| Robles-Morales, D.L.| Téllez-Jurado, A.| Huerta-Ochoa, S.| Jiménez-González, A.| Medina-Moreno, S.A.",Universidad Autónoma Metropolitana,Mexico,0
"Jiménez-González, A.",Demographic and clinical characteristics of patients with spinal cord injury: A single hospital-based study,"Zárate-Kalfópulos, B.| Jiménez-González, A.| Reyes-Sánchez, A.| Robles-Ortiz, R.| Cabrera-Aldana, E.E.| Rosales-Olivarez, L.M.",6.0,15023855200| 57188814690| 22954381600| 57188802802| 6505903867| 37028813300,2016.0,2016-11-01,Spinal Cord,54,11,1016-1019,-,ISSN-13624393,19884.0,Journal,Nature Publishing Group,English,1.02,27,2.9,48,0.851,27,0.41,19.0,14.0,0.0,8.04,35.0,71.0,0.0,0.0,"Zárate-Kalfópulos, B., Jiménez-González, A., Reyes-Sánchez, A. and 3 more (...) (2016).Demographic and clinical characteristics of patients with spinal cord injury: A single hospital-based study. Spinal Cord,54(11) 1016-1019",https://www.scopus.com/record/display.url?eid=2-s2.0-84963544897&origin=resultslist,10.1038/sc.2016.41,Article,Bronze,2-s2.0-84963544897,27067655,Universidad Autónoma Metropolitana,505017,Academic,1.0,60010210| 100466438,Universidad Autónoma Metropolitana Unidad Xochimilco| National Institute of Rehabilitation,15023855200,37028813300,15023855200,-,Mexico,1.0,2728| 2742| 2808,Neurology (clinical)| Rehabilitation| Neurology,5,Life Sciences & Medicine,532,Medicine,34,Medical and Health,42| 32,Health Sciences| Biomedical And Clinical Sciences,4201| 3209,Allied health and rehabilitation science| Neurosciences,SDG 3,Maternal Health and Delivery Outcomes in Obstetrics,248,62.852,Spinal Cord Injury: Rehabilitation and Life Expectancy Insights,6762,92.556,Definitive,2016.0,14.0,N/A,"Zárate-Kalfópulos, B.| Jiménez-González, A.| Reyes-Sánchez, A.| Robles-Ortiz, R.| Cabrera-Aldana, E.E.| Rosales-Olivarez, L.M.",Universidad Autónoma Metropolitana,Mexico,0
"Jiménez-González, A.",Sorption and inhibitory effect of octylphenol ethoxylate Triton X-100 on methanogenic and denitrifying granular sludges,"Jiménez-González, A.| Ramírez-Vargas, R.| Gomez-Valadez, A.| Gutiérrez-Rojas, M.| Monroy-Hermosillo, O.| Medina-Moreno, S.A.",6.0,42961546200| 55523673700| 57200503901| 6603961112| 6701714983| 56000793500,2019.0,2019-04-15,Journal of Environmental Management,236,-,309-316,-,ISSN-03014797,23371.0,Journal,Academic Press,English,1.81,8,7.6,5,1.321,10,0.37,16.0,8.0,0.32,15.83,45.0,57.0,0.0,0.0,"Jiménez-González, A., Ramírez-Vargas, R., Gomez-Valadez, A. and 3 more (...) (2019).Sorption and inhibitory effect of octylphenol ethoxylate Triton X-100 on methanogenic and denitrifying granular sludges. Journal of Environmental Management,236309-316",https://www.scopus.com/record/display.url?eid=2-s2.0-85061060236&origin=resultslist,10.1016/j.jenvman.2019.02.004,Article,,2-s2.0-85061060236,30738301,Universidad Autónoma Metropolitana,505017,Academic,1.0,130109129| 60028381,Universidad Politécnica de Pachuca| Universidad Autónoma Metropolitana -Unidad Iztapalapa,42961546200,56000793500,56000793500,-,Mexico,1.0,2305| 2308| 2311,"Environmental Engineering| Management, Monitoring, Policy and Law| Waste Management and Disposal",2| 3,Engineering & Technology| Social Sciences & Management,424,Environmental Sciences,37,Physical Sciences,MD,Multidisciplinary,MD,Multidisciplinary,-,Environmental Impact of Pharmaceuticals and Contaminants,153,98.169,Environmental Impact of Nonylphenol and Octylphenol,6469,87.848,Very Good,2019.0,8.0,N/A,"Jiménez-González, A.| Ramírez-Vargas, R.| Gomez-Valadez, A.| Gutiérrez-Rojas, M.| Monroy-Hermosillo, O.| Medina-Moreno, S.A.",Universidad Autónoma Metropolitana,Mexico,0
"Jiménez-González, A.",Fundamentals in the design and scaling of biodigesters with mixing by hydraulic recirculation of wastewater for biogas production using dimensional analysis,"Monroy-Oropeza, S.G.| Jiménez-González, A.| Gutiérrez-Rojas, M.| Medina-Moreno, S.A.",4.0,57218555219| 42961546200| 6603961112| 56000793500,2020.0,2020-01-01,Revista Mexicana de Ingeniera Quimica,19,-,81-99,-,ISSN-16652738,19900192431.0,Journal,Universidad Autonoma Metropolitana Iztapalapa,English,0.84,41,2.2,53,0.288,57,3.36,120.0,4.0,0.27,14.64,58.0,60.0,0.0,0.0,"Monroy-Oropeza, S.G., Jiménez-González, A., Gutiérrez-Rojas, M. and 1 more (...) (2020).Fundamentals in the design and scaling of biodigesters with mixing by hydraulic recirculation of wastewater for biogas production using dimensional analysis. Revista Mexicana de Ingeniera Quimica,1981-99",https://www.scopus.com/record/display.url?eid=2-s2.0-85089498618&origin=resultslist,10.24275/rmiq/Bio1545,Article,Hybrid gold,2-s2.0-85089498618,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381| 104840822,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Politécnica de Pachuca,57218555219,56000793500,56000793500,-,Mexico,1.0,1500,General Chemical Engineering,2,Engineering & Technology,219,Engineering - Chemical,36,Engineering,30| 40| 31,"Agricultural, Veterinary And Food Sciences| Engineering| Biological Sciences",3106| 4004| 3006,Industrial biotechnology| Chemical engineering| Food sciences,-,"Biogas, Biochar, and Microbial Fuel Cells",69,98.954,Optimizing Biogas Production in Anaerobic Digesters,75960,48.702,Defensible,2020.0,4.0,N/A,"Monroy-Oropeza, S.G.| Jiménez-González, A.| Gutiérrez-Rojas, M.| Medina-Moreno, S.A.",Universidad Autónoma Metropolitana,Mexico,0
"Jiménez-González, A.",Timing the opening and closure of the aortic valve using a phonocardiogram envelope: A performance test for systolic time intervals measurement,"Jiménez-González, A.",1.0,56013650200,2021.0,2021-02-01,Physiological Measurement,42,2,-,025004,ISSN-09673334,17049.0,Journal,IOP Publishing Ltd,English,1.24,21,5.8,26,0.777,25,0.5,11.0,3.0,0.08,12.31,60.0,76.0,0.0,0.0,"Jiménez-González, A. (2021).Timing the opening and closure of the aortic valve using a phonocardiogram envelope: A performance test for systolic time intervals measurement. Physiological Measurement,42(2) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85102845363&origin=resultslist,10.1088/1361-6579/abe0fe,Article,,2-s2.0-85102845363,33705357,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381,Universidad Autónoma Metropolitana -Unidad Iztapalapa,-,-,56013650200,56013650200,Mexico,1.0,1304| 1314| 2204| 2737,Biophysics| Physiology| Biomedical Engineering| Physiology (medical),2| 5,Engineering & Technology| Life Sciences & Medicine,507| 503,Biological Sciences| Anatomy & Physiology,36| 34| 32,Engineering| Medical and Health| Life Sciences,40| 32,Engineering| Biomedical And Clinical Sciences,4003| 3208,Biomedical engineering| Medical physiology,SDG 3,Innovative Approaches in ECG Signal Processing and Monitoring,731,71.615,Predictive Models for Acute Hypotensive Episodes,80398,46.785,Defensible,2021.0,3.0,N/A,"Jiménez-González, A.",Universidad Autónoma Metropolitana,Mexico,0
"Jiménez-González, A.",Time–frequency characteristics of the vibrations underlying the first fetal heart sound: a preliminary study,"Jiménez-González, A.| Salas-Márquez, U.",2.0,56013650200| 58042456300,2023.0,2023-03-01,Medical and Biological Engineering and Computing,61,3,739-756,-,ISSN-01400118,17979.0,Journal,Springer Science and Business Media Deutschland GmbH,English,0.99,28,6,31,0.641,41,0.8,19.0,2.0,0.15,12.99,56.0,70.0,0.0,0.0,"Jiménez-González, A., Salas-Márquez, U. (2023).Time–frequency characteristics of the vibrations underlying the first fetal heart sound: a preliminary study. Medical and Biological Engineering and Computing,61(3) 739-756",https://www.scopus.com/record/display.url?eid=2-s2.0-85145574315&origin=resultslist,10.1007/s11517-022-02756-0,Article,,2-s2.0-85145574315,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381,Universidad Autónoma Metropolitana -Unidad Iztapalapa,56013650200,58042456300,56013650200,-,Mexico,1.0,1706| 2204,Computer Science Applications| Biomedical Engineering,2,Engineering & Technology,212| 507| 213,Computer Science & Information Systems| Biological Sciences| Data Science,36| 38,Engineering| Computer Science,40| 46,Engineering| Information And Computing Sciences,4611| 4003| 4603,Machine learning| Biomedical engineering| Computer vision and multimedia computation,-,Cardiovascular Monitoring and Neonatal Care,636,64.879,Fetal Heart Monitoring throughPhonocardiography Techniques,85990,55.009,Definitive,2023.0,2.0,N/A,"Jiménez-González, A.| Salas-Márquez, U.",Universidad Autónoma Metropolitana,Mexico,0
"Jiménez-González, A.",Use of Independent Component Analysis in the extraction of Artifacts of the Mismatch Negativity Response,"Porras-Illescas, L.A.| Jiménez-González, A.| Castañeda-Villa, N.",3.0,57196954800| 56013650200| 16174477800,2017.0,2017-05-01,Revista Mexicana de Ingenieria Biomedica,38,2,420-436,-,ISSN-01889532,21100200412.0,Journal,Sociedad Mexicana de Ingenieria Biomedica,Spanish,0.18,84,0.2,94,0.125,92,0.15,14.0,0.0,0.0,10.94,82.0,72.0,0.0,0.0,"Porras-Illescas, L.A., Jiménez-González, A., Castañeda-Villa, N. (2017).Use of Independent Component Analysis in the extraction of Artifacts of the Mismatch Negativity Response. Revista Mexicana de Ingenieria Biomedica,38(2) 420-436",https://www.scopus.com/record/display.url?eid=2-s2.0-85033777571&origin=resultslist,10.17488/RMIB.38.2.1,Article,Gold,2-s2.0-85033777571,-,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381,Universidad Autónoma Metropolitana -Unidad Iztapalapa,57196954800,16174477800,16174477800,-,Mexico,1.0,2204,Biomedical Engineering,2,Engineering & Technology,507,Biological Sciences,36,Engineering,32| 40,Biomedical And Clinical Sciences| Engineering,4003| 3209| 4007,"Biomedical engineering| Neurosciences| Control engineering, mechatronics and robotics",-,Neural Mechanisms of Auditory Processing and Hearing,733,28.254,Mismatch Negativity in Auditory Processing Mechanisms,2565,91.014,Very Good,2017.0,0.0,N/A,"Porras-Illescas, L.A.| Jiménez-González, A.| Castañeda-Villa, N.",Universidad Autónoma Metropolitana,Mexico,0
