Autor,Autor_ID,Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength,Año,Citas,Colaboracion,Autores,Instituciones,Regiones,Instituciones_Nacionales
7004260997,7004260997,"High intensity ultrasound treatment of faba bean (Vicia faba L.) protein: Effect on surface properties, foaming ability and structural changes","Martínez-Velasco, A.| Lobato-Calleros, C.| Hernández-Rodríguez, B.E.| Román-Guerrero, A.| Alvarez-Ramirez, J.| Vernon-Carter, E.J.",6.0,57200696660| 6603090042| 56074846400| 56013603800| 55399527300| 7004260997,2018.0,2018-06-01,Ultrasonics Sonochemistry,44,-,97-105,-,ISSN-13504177,13517.0,Journal,Elsevier B.V.,English,2.05,6,10.2,2,1.556,2,4.56,137.0,294.0,5.35,11.03,1.0,3.0,1.0,0.0,"Martínez-Velasco, A., Lobato-Calleros, C., Hernández-Rodríguez, B.E. and 3 more (...) (2018).High intensity ultrasound treatment of faba bean (Vicia faba L.) protein: Effect on surface properties, foaming ability and structural changes. Ultrasonics Sonochemistry,4497-105",https://www.scopus.com/record/display.url?eid=2-s2.0-85042237830&origin=resultslist,10.1016/j.ultsonch.2018.02.007,Article,,2-s2.0-85042237830,29680632,Universidad Autónoma Metropolitana| Universidad Autonoma Chapingo,505017| 505047,Academic,2.0,60028381| 60010597,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Autónoma Chapingo,57200696660,7004260997,6603090042,-,Mexico,1.0,1501| 1604| 1605| 2304| 2741| 3102,"Chemical Engineering (miscellaneous)| Inorganic Chemistry| Organic Chemistry| Environmental Chemistry| Radiology, Nuclear Medicine and Imaging| Acoustics and Ultrasonics",4| 5| 2,Natural Sciences| Life Sciences & Medicine| Engineering & Technology,532| 219| 439| 249| 424| 409,Medicine| Engineering - Chemical| Physics & Astronomy| Engineering - Petroleum| Environmental Sciences| Chemistry,37| 34| 36,Physical Sciences| Medical and Health| Engineering,40| 34,Engineering| Chemical Sciences,3406| 4004,Physical chemistry| Chemical engineering,-,Protein Emulsification and Functional Food Applications,582,95.487,Functional Properties of Plant Proteins in Food Applications,4008,99.802,Definitive,2018.0,294.0,N/A,"Martínez-Velasco, A.| Lobato-Calleros, C.| Hernández-Rodríguez, B.E.| Román-Guerrero, A.| Alvarez-Ramirez, J.| Vernon-Carter, E.J.",Universidad Autónoma Metropolitana| Universidad Autonoma Chapingo,Mexico,0
7004260997,7004260997,"Effect of inulin and agave fructans addition on the rheological, microstructural and sensory properties of reduced-fat stirred yogurt","Crispín-Isidro, G.| Lobato-Calleros, C.| Espinosa-Andrews, H.| Alvarez-Ramirez, J.| Vernon-Carter, E.J.",5.0,56544749600| 6603090042| 56002681100| 55399527300| 7004260997,2015.0,2015-06-01,LWT - Food Science and Technology,62,1,438-444,-,ISSN-00236438,20744.0,Journal,Academic Press,English,1.6,10,4,14,1.29,10,4.61,202.0,145.0,3.49,7.73,3.0,6.0,1.0,0.0,"Crispín-Isidro, G., Lobato-Calleros, C., Espinosa-Andrews, H. and 2 more (...) (2015).Effect of inulin and agave fructans addition on the rheological, microstructural and sensory properties of reduced-fat stirred yogurt. LWT - Food Science and Technology,62(1) 438-444",https://www.scopus.com/record/display.url?eid=2-s2.0-84924527304&origin=resultslist,10.1016/j.lwt.2014.06.042,Article,,2-s2.0-84924527304,-,Universidad Autónoma Metropolitana| Universidad Autonoma Chapingo,505017| 505047,Academic,2.0,60010597| 60095192| 60028381,Universidad Autónoma Chapingo| Instituto Dermatologico de Jalisco Dr. Jose Barba Rubio| Universidad Autónoma Metropolitana -Unidad Iztapalapa,56544749600,7004260997,6603090042,-,Mexico,1.0,1106,Food Science,5,Life Sciences & Medicine,502,Agriculture & Forestry,32,Life Sciences,32| 40| 30,"Biomedical And Clinical Sciences| Engineering| Agricultural, Veterinary And Food Sciences",3006| 3210| 4004,Food sciences| Nutrition and dietetics| Chemical engineering,-,Probiotics and Their Impact on Health,525,88.031,Yogurt Innovations in Fermentation and Probiotics,1188,98.508,Very Good,2015.0,145.0,N/A,"Crispín-Isidro, G.| Lobato-Calleros, C.| Espinosa-Andrews, H.| Alvarez-Ramirez, J.| Vernon-Carter, E.J.",Universidad Autónoma Metropolitana| Universidad Autonoma Chapingo,Mexico,0
7004260997,7004260997,In vitro digestibility of ultrasound-treated corn starch,"Flores-Silva, P.C.| Roldan-Cruz, C.A.| Chavez-Esquivel, G.| Vernon-Carter, E.J.| Bello-Perez, L.A.| Alvarez-Ramirez, J.",6.0,56056288500| 57118083700| 55773546500| 7004260997| 7003824557| 55399527300,2017.0,2017-09-01,Starch/Staerke,69,9-10,-,1700040,ISSN-00389056,26489.0,Journal,Wiley-VCH Verlag,English,0.96,32,3,31,0.725,26,2.68,103.0,139.0,2.32,9.91,3.0,11.0,0.0,0.0,"Flores-Silva, P.C., Roldan-Cruz, C.A., Chavez-Esquivel, G. and 3 more (...) (2017).In vitro digestibility of ultrasound-treated corn starch. Starch/Staerke,69(9-10) ",https://www.scopus.com/record/display.url?eid=2-s2.0-85020470675&origin=resultslist,10.1002/star.201700040,Article,,2-s2.0-85020470675,-,Universidad Autónoma Metropolitana| Instituto Politécnico Nacional,505017| 505011,Academic,2.0,60028381| 60019176,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Instituto Politécnico Nacional,56056288500,55399527300,56056288500,-,Mexico,1.0,1106| 1605,Food Science| Organic Chemistry,4| 2| 5,Natural Sciences| Engineering & Technology| Life Sciences & Medicine,409| 249| 502,Chemistry| Engineering - Petroleum| Agriculture & Forestry,37| 32,Physical Sciences| Life Sciences,30| 40,"Agricultural, Veterinary And Food Sciences| Engineering",4004| 3006,Chemical engineering| Food sciences,-,Starch Properties and Applications in Food Science,737,83.584,Starch Nanoparticles: Properties and Applications,39240,94.21,Very Good,2017.0,139.0,N/A,"Flores-Silva, P.C.| Roldan-Cruz, C.A.| Chavez-Esquivel, G.| Vernon-Carter, E.J.| Bello-Perez, L.A.| Alvarez-Ramirez, J.",Universidad Autónoma Metropolitana| Instituto Politécnico Nacional,Mexico,0
7004260997,7004260997,"Modifying the structure, physicochemical properties, and foaming ability of amaranth protein by dual pH-shifting and ultrasound treatments","Figueroa-González, J.J.| Lobato-Calleros, C.| Vernon-Carter, E.J.| Aguirre-Mandujano, E.| Alvarez-Ramirez, J.| Martínez-Velasco, A.",6.0,57288159800| 6603090042| 7004260997| 6505894687| 55399527300| 57200696660,2022.0,2022-01-01,LWT,153,-,-,112561,ISSN-00236438,20744.0,Journal,Academic Press,English,1.49,13,9.6,10,1.173,7,1.77,63.0,126.0,8.56,13.67,1.0,1.0,0.0,0.0,"Figueroa-González, J.J., Lobato-Calleros, C., Vernon-Carter, E.J. and 3 more (...) (2022).Modifying the structure, physicochemical properties, and foaming ability of amaranth protein by dual pH-shifting and ultrasound treatments. LWT,153",https://www.scopus.com/record/display.url?eid=2-s2.0-85116560871&origin=resultslist,10.1016/j.lwt.2021.112561,Article,Hybrid gold,2-s2.0-85116560871,-,Universidad Autónoma Metropolitana| Universidad Autonoma Chapingo,505017| 505047,Academic,2.0,60010597| 60028381| 60194954,Universidad Autónoma Chapingo| Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Intercultural del Estado de Puebla,57288159800,57200696660,6603090042,-,Mexico,1.0,1106,Food Science,5,Life Sciences & Medicine,502,Agriculture & Forestry,32,Life Sciences,40| 30| 32,"Engineering| Agricultural, Veterinary And Food Sciences| Biomedical And Clinical Sciences",3006| 3210| 4004,Food sciences| Nutrition and dietetics| Chemical engineering,-,Protein Emulsification and Functional Food Applications,582,95.487,Functional Properties of Plant Proteins in Food Applications,4008,99.802,Definitive,2022.0,126.0,N/A,"Figueroa-González, J.J.| Lobato-Calleros, C.| Vernon-Carter, E.J.| Aguirre-Mandujano, E.| Alvarez-Ramirez, J.| Martínez-Velasco, A.",Universidad Autónoma Metropolitana| Universidad Autonoma Chapingo,Mexico,0
7004260997,7004260997,Effect of the weight ratio of alginate-modified tapioca starch on the physicochemical properties and release kinetics of chlorogenic acid containing beads,"Lozano-Vazquez, G.| Lobato-Calleros, C.| Escalona-Buendia, H.| Chavez, G.| Alvarez-Ramirez, J.| Vernon-Carter, E.J.",6.0,56566709400| 6603090042| 57194437346| 55773546500| 55399527300| 7004260997,2015.0,2015-06-01,Food Hydrocolloids,48,-,301-311,-,ISSN-0268005X,22597.0,Journal,Elsevier B.V.,English,2.01,6,7,5,1.802,4,1.8,93.0,125.0,2.76,9.44,3.0,9.0,1.0,0.0,"Lozano-Vazquez, G., Lobato-Calleros, C., Escalona-Buendia, H. and 3 more (...) (2015).Effect of the weight ratio of alginate-modified tapioca starch on the physicochemical properties and release kinetics of chlorogenic acid containing beads. Food Hydrocolloids,48301-311",https://www.scopus.com/record/display.url?eid=2-s2.0-84925379902&origin=resultslist,10.1016/j.foodhyd.2015.02.032,Article,,2-s2.0-84925379902,-,Universidad Autónoma Metropolitana| Universidad Autonoma Chapingo,505017| 505047,Academic,2.0,60028381| 60010597,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Autónoma Chapingo,56566709400,7004260997,55399527300,-,Mexico,1.0,1106| 1500| 1600,Food Science| General Chemical Engineering| General Chemistry,4| 2| 5,Natural Sciences| Engineering & Technology| Life Sciences & Medicine,409| 219| 502,Chemistry| Engineering - Chemical| Agriculture & Forestry,32| 36| 37,Life Sciences| Engineering| Physical Sciences,40| 30,"Engineering| Agricultural, Veterinary And Food Sciences",3006| 4004,Food sciences| Chemical engineering,-,Innovative Drug Delivery Systems for Enhanced Absorption,147,89.47,Alginate-Based Systems for Enhanced Bioactive Delivery,93662,86.081,Defensible,2015.0,125.0,N/A,"Lozano-Vazquez, G.| Lobato-Calleros, C.| Escalona-Buendia, H.| Chavez, G.| Alvarez-Ramirez, J.| Vernon-Carter, E.J.",Universidad Autónoma Metropolitana| Universidad Autonoma Chapingo,Mexico,0
7004260997,7004260997,Effects of dry heat treatment temperature on the structure of wheat flour and starch in vitro digestibility of bread,"González, M.| Vernon-Carter, E.J.| Alvarez-Ramirez, J.| Carrera-Tarela, Y.",4.0,57211589226| 7004260997| 55399527300| 57202785984,2021.0,2021-01-01,International Journal of Biological Macromolecules,166,-,1439-1447,-,ISSN-01418130,17544.0,Journal,Elsevier B.V.,English,1.41,16,11.6,10,1.1,17,2.49,59.0,107.0,5.0,14.99,2.0,3.0,0.0,0.0,"González, M., Vernon-Carter, E.J., Alvarez-Ramirez, J. and 1 more (...) (2021).Effects of dry heat treatment temperature on the structure of wheat flour and starch in vitro digestibility of bread. International Journal of Biological Macromolecules,1661439-1447",https://www.scopus.com/record/display.url?eid=2-s2.0-85096123403&origin=resultslist,10.1016/j.ijbiomac.2020.11.023,Article,,2-s2.0-85096123403,33188811,Universidad Autónoma Metropolitana,505017,Academic,1.0,60028381,Universidad Autónoma Metropolitana -Unidad Iztapalapa,57211589226,57202785984,55399527300,-,Mexico,1.0,1303| 1312| 1315,Biochemistry| Molecular Biology| Structural Biology,5,Life Sciences & Medicine,507,Biological Sciences,32,Life Sciences,31,Biological Sciences,3101,Biochemistry and cell biology,-,Starch Properties and Applications in Food Science,737,83.584,Starch Properties and Applications in Food Science,99,99.766,Very Good,2021.0,107.0,N/A,"González, M.| Vernon-Carter, E.J.| Alvarez-Ramirez, J.| Carrera-Tarela, Y.",Universidad Autónoma Metropolitana,Mexico,0
7004260997,7004260997,Formation of biopolymer complexes composed of pea protein and mesquite gum – Impact of quercetin addition on their physical and chemical stability,"Cuevas-Bernardino, J.C.| Leyva-Gutierrez, F.M.A.| Vernon-Carter, E.J.| Lobato-Calleros, C.| Román-Guerrero, A.| Davidov-Pardo, G.",6.0,57188803168| 57197765980| 7004260997| 6603090042| 56013603800| 36559154200,2018.0,2018-04-01,Food Hydrocolloids,77,-,736-745,-,ISSN-0268005X,22597.0,Journal,Elsevier B.V.,English,2.04,6,9.4,3,2.055,2,2.45,95.0,101.0,2.35,12.37,4.0,10.0,2.0,0.0,"Cuevas-Bernardino, J.C., Leyva-Gutierrez, F.M.A., Vernon-Carter, E.J. and 3 more (...) (2018).Formation of biopolymer complexes composed of pea protein and mesquite gum – Impact of quercetin addition on their physical and chemical stability. Food Hydrocolloids,77736-745",https://www.scopus.com/record/display.url?eid=2-s2.0-85034630008&origin=resultslist,10.1016/j.foodhyd.2017.11.015,Article,,2-s2.0-85034630008,-,Universidad Autónoma Metropolitana| California State Polytechnic University Pomona| Universidad Autonoma Chapingo,505017| 508023| 505047,Academic,3.0,60028381| 60005565| 60010597,"Universidad Autónoma Metropolitana -Unidad Iztapalapa| California State Polytechnic University, Pomona| Universidad Autónoma Chapingo",57188803168,36559154200,36559154200,-,Mexico| United States,2.0,1106| 1500| 1600,Food Science| General Chemical Engineering| General Chemistry,2| 5| 4,Engineering & Technology| Life Sciences & Medicine| Natural Sciences,219| 502| 409,Engineering - Chemical| Agriculture & Forestry| Chemistry,32| 37| 36,Life Sciences| Physical Sciences| Engineering,40| 30,"Engineering| Agricultural, Veterinary And Food Sciences",4004| 3006,Chemical engineering| Food sciences,-,Protein Emulsification and Functional Food Applications,582,95.487,Zein Nanoparticles for Enhanced Bioactive Delivery,11954,98.993,Very Good,2018.0,101.0,N/A,"Cuevas-Bernardino, J.C.| Leyva-Gutierrez, F.M.A.| Vernon-Carter, E.J.| Lobato-Calleros, C.| Román-Guerrero, A.| Davidov-Pardo, G.",Universidad Autónoma Metropolitana| California State Polytechnic University Pomona| Universidad Autonoma Chapingo,Mexico| United States,0
7004260997,7004260997,"Effects of candelilla wax/canola oil oleogel on the rheology, texture, thermal properties and in vitro starch digestibility of wheat sponge cake bread","Alvarez-Ramirez, J.| Vernon-Carter, E.J.| Carrera-Tarela, Y.| Garcia, A.| Roldan-Cruz, C.",5.0,55399527300| 7004260997| 57202785984| 57192004816| 57118083700,2020.0,2020-08-01,LWT,130,-,-,109701,ISSN-00236438,20744.0,Journal,Academic Press,English,1.58,12,6.7,12,1.258,10,2.85,94.0,101.0,3.76,12.49,3.0,5.0,0.0,0.0,"Alvarez-Ramirez, J., Vernon-Carter, E.J., Carrera-Tarela, Y. and 2 more (...) (2020).Effects of candelilla wax/canola oil oleogel on the rheology, texture, thermal properties and in vitro starch digestibility of wheat sponge cake bread. LWT,130",https://www.scopus.com/record/display.url?eid=2-s2.0-85086376568&origin=resultslist,10.1016/j.lwt.2020.109701,Article,,2-s2.0-85086376568,-,Universidad Autónoma Metropolitana| Universidad Veracruzana,505017| 505056,Academic,2.0,60028381| 60007909,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Veracruzana,55399527300,57118083700,55399527300,-,Mexico,1.0,1106,Food Science,5,Life Sciences & Medicine,502,Agriculture & Forestry,32,Life Sciences,40| 30| 32,"Engineering| Agricultural, Veterinary And Food Sciences| Biomedical And Clinical Sciences",3006| 3210| 4004,Food sciences| Nutrition and dietetics| Chemical engineering,-,Protein Emulsification and Functional Food Applications,582,95.487,Innovative Oleogels from Sunflower Oil Applications,14243,99.194,Definitive,2020.0,101.0,N/A,"Alvarez-Ramirez, J.| Vernon-Carter, E.J.| Carrera-Tarela, Y.| Garcia, A.| Roldan-Cruz, C.",Universidad Autónoma Metropolitana| Universidad Veracruzana,Mexico,0
7004260997,7004260997,Extraction of phenolic compounds from Satureja macrostema using microwave-ultrasound assisted and reflux methods and evaluation of their antioxidant activity and cytotoxicity,"Alonso-Carrillo, N.| Aguilar-Santamaría, M.D.L.Á.| Vernon-Carter, E.J.| Jiménez-Alvarado, R.| Cruz-Sosa, F.| Román-Guerrero, A.",6.0,57193928358| 57193933645| 7004260997| 6504756634| 56013839300| 56013603800,2017.0,2017-09-01,Industrial Crops and Products,103,-,213-221,-,ISSN-09266690,32791.0,Journal,Elsevier B.V.,English,1.71,9,6.5,5,1.091,11,4.14,133.0,90.0,4.15,6.75,5.0,4.0,0.0,0.0,"Alonso-Carrillo, N., Aguilar-Santamaría, M.D.L.Á., Vernon-Carter, E.J. and 3 more (...) (2017).Extraction of phenolic compounds from Satureja macrostema using microwave-ultrasound assisted and reflux methods and evaluation of their antioxidant activity and cytotoxicity. Industrial Crops and Products,103213-221",https://www.scopus.com/record/display.url?eid=2-s2.0-85017553412&origin=resultslist,10.1016/j.indcrop.2017.04.002,Article,,2-s2.0-85017553412,-,Universidad Autónoma Metropolitana| Universidad Autonoma del Estado de Hidalgo,505017| 505050,Academic,2.0,60028381| 60027135,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Autónoma del Estado de Hidalgo,57193928358,56013603800,56013603800,-,Mexico,1.0,1102,Agronomy and Crop Science,5,Life Sciences & Medicine,502,Agriculture & Forestry,32,Life Sciences,40| 30,"Engineering| Agricultural, Veterinary And Food Sciences",4004| 3006| 3004,Chemical engineering| Food sciences| Crop and pasture production,-,Ionic Liquids in Catalysis and Extraction Processes,424,80.052,Valorization of Agro-Industrial Waste for Bioactive Compounds,3566,99.467,Very Good,2017.0,90.0,N/A,"Alonso-Carrillo, N.| Aguilar-Santamaría, M.D.L.Á.| Vernon-Carter, E.J.| Jiménez-Alvarado, R.| Cruz-Sosa, F.| Román-Guerrero, A.",Universidad Autónoma Metropolitana| Universidad Autonoma del Estado de Hidalgo,Mexico,0
7004260997,7004260997,Stabilization of oil-in-water-in-oil (O1/W/O2) Pickering double emulsions by soluble and insoluble whey protein concentrate-gum Arabic complexes used as inner and outer interfaces,"Estrada-Fernández, A.G.| Román-Guerrero, A.| Jiménez-Alvarado, R.| Lobato-Calleros, C.| Alvarez-Ramirez, J.| Vernon-Carter, E.J.",6.0,56305433200| 56013603800| 6504756634| 6603090042| 55399527300| 7004260997,2018.0,2018-03-01,Journal of Food Engineering,221,-,35-44,-,ISSN-02608774,20586.0,Journal,Elsevier Ltd,English,1.73,9,6.7,6,1.277,9,3.22,155.0,76.0,2.81,11.38,6.0,8.0,2.0,0.0,"Estrada-Fernández, A.G., Román-Guerrero, A., Jiménez-Alvarado, R. and 3 more (...) (2018).Stabilization of oil-in-water-in-oil (O1/W/O2) Pickering double emulsions by soluble and insoluble whey protein concentrate-gum Arabic complexes used as inner and outer interfaces. Journal of Food Engineering,22135-44",https://www.scopus.com/record/display.url?eid=2-s2.0-85031399124&origin=resultslist,10.1016/j.jfoodeng.2017.10.006,Article,,2-s2.0-85031399124,-,Universidad Autónoma Metropolitana| Universidad Autonoma del Estado de Hidalgo| Universidad Autonoma Chapingo,505017| 505050| 505047,Academic,3.0,60028381| 60027135| 60010597,Universidad Autónoma Metropolitana -Unidad Iztapalapa| Universidad Autónoma del Estado de Hidalgo| Universidad Autónoma Chapingo,56305433200,7004260997,7004260997,-,Mexico,1.0,1106,Food Science,5,Life Sciences & Medicine,502,Agriculture & Forestry,32,Life Sciences,30| 40,"Agricultural, Veterinary And Food Sciences| Engineering",4004| 3006,Chemical engineering| Food sciences,-,Foam and Perfluoroalkyl Substances in Environmental Applications,888,95.553,Stability and Applications of Pickering Emulsions,2164,99.777,Very Good,2018.0,76.0,N/A,"Estrada-Fernández, A.G.| Román-Guerrero, A.| Jiménez-Alvarado, R.| Lobato-Calleros, C.| Alvarez-Ramirez, J.| Vernon-Carter, E.J.",Universidad Autónoma Metropolitana| Universidad Autonoma del Estado de Hidalgo| Universidad Autonoma Chapingo,Mexico,0
